,loss,accuracy,val_loss,val_accuracy,lr
0,5.586984157562256,0.4692343771457672,4.525765419006348,0.704469621181488,1e-04
1,4.262643814086914,0.6542977690696716,3.7070581912994385,0.7685123682022095,1e-04
2,3.475234270095825,0.7119539976119995,3.1827571392059326,0.7645096778869629,1e-04
3,2.9072375297546387,0.7442461252212524,2.820849657058716,0.7658438682556152,1e-04
4,2.529784679412842,0.7754814624786377,2.537357807159424,0.8052034974098206,5e-05
5,2.2880232334136963,0.8010803461074829,2.34358286857605,0.8058705925941467,5e-05
6,2.102736473083496,0.805542528629303,2.1972100734710693,0.8032021522521973,5e-05
7,1.8991010189056396,0.8260920643806458,2.042139768600464,0.8085390329360962,5e-05
8,1.7271722555160522,0.8330202102661133,1.8681832551956177,0.8272181749343872,5e-05
9,1.5658468008041382,0.839478611946106,1.7900137901306152,0.8092061281204224,5e-05
10,1.4222383499145508,0.8549788594245911,1.5920851230621338,0.8412274718284607,5e-05
11,1.2963083982467651,0.8627289533615112,1.5050594806671143,0.8272181749343872,5e-05
12,1.1683651208877563,0.8684828281402588,1.4065533876419067,0.8212141394615173,5e-05
13,1.0761357545852661,0.8804603219032288,1.3374403715133667,0.8465643525123596,2.5e-05
14,1.0161265134811401,0.8900892734527588,1.2471051216125488,0.84989994764328,2.5e-05
15,0.9609472155570984,0.8959605693817139,1.219820499420166,0.8559039235115051,2.5e-05
16,0.8998861312866211,0.8959605693817139,1.1692184209823608,0.8525683879852295,2.5e-05
17,0.8566873669624329,0.8974871039390564,1.21587336063385,0.8185456991195679,2.5e-05
18,0.8104804754257202,0.8985438942909241,1.1064753532409668,0.8512341380119324,1.25e-05
19,0.7890079021453857,0.9096993803977966,1.0640203952789307,0.855236828327179,1.25e-05
20,0.7631933093070984,0.9175669550895691,1.0840280055999756,0.8565710186958313,1e-05
21,0.7480998039245605,0.9168623685836792,1.0346554517745972,0.8632421493530273,1e-05
22,0.7312822341918945,0.9163926839828491,1.0205165147781372,0.8652434945106506,1e-05
23,0.7112761735916138,0.9195631742477417,0.9799731373786926,0.8705803751945496,1e-05
24,0.6882160902023315,0.9182714819908142,1.0113883018493652,0.8545697331428528,1e-05
25,0.6698789596557617,0.9202677607536316,0.9700047373771667,0.8672448396682739,1e-05
26,0.6541073322296143,0.9261390566825867,0.9610675573348999,0.861907958984375,1e-05
27,0.6323265433311462,0.9263738989830017,0.9409716129302979,0.861907958984375,1e-05
28,0.6214852333068848,0.9200328588485718,0.9324735999107361,0.8625750541687012,1e-05
29,0.6075477600097656,0.9215593934059143,0.9326532483100891,0.8665777444839478,1e-05
