,loss,accuracy,val_loss,val_accuracy,lr
0,4.987492561340332,0.08572099357843399,4.506955623626709,0.08739159256219864,1e-04
1,4.1465020179748535,0.3357209861278534,3.8030829429626465,0.662441611289978,1e-04
2,3.5373177528381348,0.45937058329582214,3.2838850021362305,0.609072744846344,1e-04
3,3.0931875705718994,0.25892436504364014,2.91158127784729,0.3942628502845764,1e-04
4,2.8370678424835205,0.23238609731197357,2.76214861869812,0.5583722591400146,5e-05
5,2.7007558345794678,0.34558477997779846,2.634941577911377,0.651100754737854,5e-05
6,2.610936164855957,0.45267730951309204,2.5765514373779297,0.6310873627662659,2.5e-05
7,2.554069995880127,0.4920150339603424,2.5215365886688232,0.5757171511650085,2.5e-05
8,2.512640953063965,0.3967825174331665,2.5041403770446777,0.20413608849048615,1.25e-05
9,2.4867441654205322,0.41803663969039917,2.46574330329895,0.6470980644226074,1.25e-05
10,2.4621355533599854,0.353922039270401,2.446831703186035,0.4462975263595581,1e-05
11,2.4233574867248535,0.24166275560855865,2.4139344692230225,0.10673782229423523,1e-05
12,2.3616697788238525,0.30260685086250305,2.385601282119751,0.3615743815898895,1e-05
13,2.3127686977386475,0.294152170419693,2.4000847339630127,0.24549700319766998,1e-05
14,2.2298266887664795,0.254814475774765,2.2335097789764404,0.0900600403547287,1e-05
15,2.0981686115264893,0.22076092660427094,2.002678155899048,0.409606397151947,1e-05
16,1.9442589282989502,0.3190464973449707,1.8881189823150635,0.4449633061885834,1e-05
17,1.7828460931777954,0.45138561725616455,1.4776667356491089,0.585056722164154,1e-05
18,1.6151424646377563,0.5360497832298279,1.51848304271698,0.5997331738471985,1e-05
19,1.4987132549285889,0.5802019834518433,1.288006067276001,0.6417611837387085,1e-05
20,1.452906608581543,0.5748003721237183,1.3240036964416504,0.6157438158988953,1e-05
21,1.3412421941757202,0.6097933053970337,1.1079267263412476,0.7111407518386841,1e-05
22,1.2836675643920898,0.6198919415473938,1.0515334606170654,0.7298198938369751,1e-05
23,1.2638916969299316,0.6209487915039062,0.9786290526390076,0.7458305358886719,1e-05
24,1.2061384916305542,0.6311648488044739,1.0347421169281006,0.6897931694984436,1e-05
25,1.154563069343567,0.6302254796028137,0.9707688689231873,0.7384923100471497,1e-05
26,1.1178473234176636,0.6436120271682739,1.0424538850784302,0.723148763179779,1e-05
27,1.0599665641784668,0.649483323097229,0.9896920323371887,0.723148763179779,1e-05
